id,theme,character,scene,prop,src,prompt_en,prompt_zh,desc_kid
sci_robot_lab_glasses,scifi,robot,lab,glasses,./assets/images/sci_robot_lab_glasses.webp,"a cute friendly robot inside a bright scientific laboratory, wearing high-tech glowing glasses, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在明亮的科學實驗室裡，戴著一副會發光的高科技眼鏡。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在明亮的科學實驗室裡，戴著一副會發光的高科技眼鏡！這是一張科幻世界的快樂畫面～
sci_robot_lab_laser,scifi,robot,lab,laser,./assets/images/sci_robot_lab_laser.webp,"a cute friendly robot inside a bright scientific laboratory, holding a glowing laser sword, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在明亮的科學實驗室裡，手裡握著一把發光的雷射劍。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在明亮的科學實驗室裡，手裡握著一把發光的雷射劍！這是一張科幻世界的快樂畫面～
sci_robot_lab_holopad,scifi,robot,lab,holopad,./assets/images/sci_robot_lab_holopad.webp,"a cute friendly robot inside a bright scientific laboratory, looking at a floating holographic tablet, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在明亮的科學實驗室裡，看著浮在空中的全息平板。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在明亮的科學實驗室裡，看著浮在空中的全息平板！這是一張科幻世界的快樂畫面～
sci_robot_lab_jetpack,scifi,robot,lab,jetpack,./assets/images/sci_robot_lab_jetpack.webp,"a cute friendly robot inside a bright scientific laboratory, wearing a small flame-trailing jetpack, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：可愛的小機器人在明亮的科學實驗室裡，背著一個會噴火的小噴射背包。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 可愛的小機器人在明亮的科學實驗室裡，背著一個會噴火的小噴射背包！這是一張科幻世界的快樂畫面～
sci_astronaut_spaceship_glasses,scifi,astronaut,spaceship,glasses,./assets/images/sci_astronaut_spaceship_glasses.webp,"a young astronaut in a white spacesuit inside a futuristic spaceship control room, wearing high-tech glowing glasses, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在未來太空船的控制室裡，戴著一副會發光的高科技眼鏡。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在未來太空船的控制室裡，戴著一副會發光的高科技眼鏡！這是一張科幻世界的快樂畫面～
sci_astronaut_spaceship_laser,scifi,astronaut,spaceship,laser,./assets/images/sci_astronaut_spaceship_laser.webp,"a young astronaut in a white spacesuit inside a futuristic spaceship control room, holding a glowing laser sword, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在未來太空船的控制室裡，手裡握著一把發光的雷射劍。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在未來太空船的控制室裡，手裡握著一把發光的雷射劍！這是一張科幻世界的快樂畫面～
sci_astronaut_spaceship_holopad,scifi,astronaut,spaceship,holopad,./assets/images/sci_astronaut_spaceship_holopad.webp,"a young astronaut in a white spacesuit inside a futuristic spaceship control room, looking at a floating holographic tablet, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在未來太空船的控制室裡，看著浮在空中的全息平板。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在未來太空船的控制室裡，看著浮在空中的全息平板！這是一張科幻世界的快樂畫面～
sci_astronaut_spaceship_jetpack,scifi,astronaut,spaceship,jetpack,./assets/images/sci_astronaut_spaceship_jetpack.webp,"a young astronaut in a white spacesuit inside a futuristic spaceship control room, wearing a small flame-trailing jetpack, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在未來太空船的控制室裡，背著一個會噴火的小噴射背包。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在未來太空船的控制室裡，背著一個會噴火的小噴射背包！這是一張科幻世界的快樂畫面～
sci_astronaut_cybercity_glasses,scifi,astronaut,cybercity,glasses,./assets/images/sci_astronaut_cybercity_glasses.webp,"a young astronaut in a white spacesuit on a neon cyberpunk city street, wearing high-tech glowing glasses, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在霓虹閃爍的賽博城市街道上，戴著一副會發光的高科技眼鏡。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在霓虹閃爍的賽博城市街道上，戴著一副會發光的高科技眼鏡！這是一張科幻世界的快樂畫面～
sci_astronaut_cybercity_laser,scifi,astronaut,cybercity,laser,./assets/images/sci_astronaut_cybercity_laser.webp,"a young astronaut in a white spacesuit on a neon cyberpunk city street, holding a glowing laser sword, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在霓虹閃爍的賽博城市街道上，手裡握著一把發光的雷射劍。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在霓虹閃爍的賽博城市街道上，手裡握著一把發光的雷射劍！這是一張科幻世界的快樂畫面～
sci_astronaut_cybercity_holopad,scifi,astronaut,cybercity,holopad,./assets/images/sci_astronaut_cybercity_holopad.webp,"a young astronaut in a white spacesuit on a neon cyberpunk city street, looking at a floating holographic tablet, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在霓虹閃爍的賽博城市街道上，看著浮在空中的全息平板。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在霓虹閃爍的賽博城市街道上，看著浮在空中的全息平板！這是一張科幻世界的快樂畫面～
sci_astronaut_cybercity_jetpack,scifi,astronaut,cybercity,jetpack,./assets/images/sci_astronaut_cybercity_jetpack.webp,"a young astronaut in a white spacesuit on a neon cyberpunk city street, wearing a small flame-trailing jetpack, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在霓虹閃爍的賽博城市街道上，背著一個會噴火的小噴射背包。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在霓虹閃爍的賽博城市街道上，背著一個會噴火的小噴射背包！這是一張科幻世界的快樂畫面～
sci_astronaut_moonbase_glasses,scifi,astronaut,moonbase,glasses,./assets/images/sci_astronaut_moonbase_glasses.webp,"a young astronaut in a white spacesuit at a moon base with the Earth in the sky, wearing high-tech glowing glasses, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在月球基地，遠遠看著地球，戴著一副會發光的高科技眼鏡。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在月球基地，遠遠看著地球，戴著一副會發光的高科技眼鏡！這是一張科幻世界的快樂畫面～
sci_astronaut_moonbase_laser,scifi,astronaut,moonbase,laser,./assets/images/sci_astronaut_moonbase_laser.webp,"a young astronaut in a white spacesuit at a moon base with the Earth in the sky, holding a glowing laser sword, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在月球基地，遠遠看著地球，手裡握著一把發光的雷射劍。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在月球基地，遠遠看著地球，手裡握著一把發光的雷射劍！這是一張科幻世界的快樂畫面～
sci_astronaut_moonbase_holopad,scifi,astronaut,moonbase,holopad,./assets/images/sci_astronaut_moonbase_holopad.webp,"a young astronaut in a white spacesuit at a moon base with the Earth in the sky, looking at a floating holographic tablet, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在月球基地，遠遠看著地球，看著浮在空中的全息平板。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在月球基地，遠遠看著地球，看著浮在空中的全息平板！這是一張科幻世界的快樂畫面～
sci_astronaut_moonbase_jetpack,scifi,astronaut,moonbase,jetpack,./assets/images/sci_astronaut_moonbase_jetpack.webp,"a young astronaut in a white spacesuit at a moon base with the Earth in the sky, wearing a small flame-trailing jetpack, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在月球基地，遠遠看著地球，背著一個會噴火的小噴射背包。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在月球基地，遠遠看著地球，背著一個會噴火的小噴射背包！這是一張科幻世界的快樂畫面～
sci_astronaut_lab_glasses,scifi,astronaut,lab,glasses,./assets/images/sci_astronaut_lab_glasses.webp,"a young astronaut in a white spacesuit inside a bright scientific laboratory, wearing high-tech glowing glasses, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在明亮的科學實驗室裡，戴著一副會發光的高科技眼鏡。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在明亮的科學實驗室裡，戴著一副會發光的高科技眼鏡！這是一張科幻世界的快樂畫面～
sci_astronaut_lab_laser,scifi,astronaut,lab,laser,./assets/images/sci_astronaut_lab_laser.webp,"a young astronaut in a white spacesuit inside a bright scientific laboratory, holding a glowing laser sword, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在明亮的科學實驗室裡，手裡握著一把發光的雷射劍。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在明亮的科學實驗室裡，手裡握著一把發光的雷射劍！這是一張科幻世界的快樂畫面～
sci_astronaut_lab_holopad,scifi,astronaut,lab,holopad,./assets/images/sci_astronaut_lab_holopad.webp,"a young astronaut in a white spacesuit inside a bright scientific laboratory, looking at a floating holographic tablet, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在明亮的科學實驗室裡，看著浮在空中的全息平板。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在明亮的科學實驗室裡，看著浮在空中的全息平板！這是一張科幻世界的快樂畫面～
sci_astronaut_lab_jetpack,scifi,astronaut,lab,jetpack,./assets/images/sci_astronaut_lab_jetpack.webp,"a young astronaut in a white spacesuit inside a bright scientific laboratory, wearing a small flame-trailing jetpack, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：穿著太空衣的太空人在明亮的科學實驗室裡，背著一個會噴火的小噴射背包。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 穿著太空衣的太空人在明亮的科學實驗室裡，背著一個會噴火的小噴射背包！這是一張科幻世界的快樂畫面～
sci_alien_spaceship_glasses,scifi,alien,spaceship,glasses,./assets/images/sci_alien_spaceship_glasses.webp,"a small green friendly alien inside a futuristic spaceship control room, wearing high-tech glowing glasses, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：綠綠的外星人小朋友在未來太空船的控制室裡，戴著一副會發光的高科技眼鏡。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 綠綠的外星人小朋友在未來太空船的控制室裡，戴著一副會發光的高科技眼鏡！這是一張科幻世界的快樂畫面～
sci_alien_spaceship_laser,scifi,alien,spaceship,laser,./assets/images/sci_alien_spaceship_laser.webp,"a small green friendly alien inside a futuristic spaceship control room, holding a glowing laser sword, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：綠綠的外星人小朋友在未來太空船的控制室裡，手裡握著一把發光的雷射劍。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 綠綠的外星人小朋友在未來太空船的控制室裡，手裡握著一把發光的雷射劍！這是一張科幻世界的快樂畫面～
sci_alien_spaceship_holopad,scifi,alien,spaceship,holopad,./assets/images/sci_alien_spaceship_holopad.webp,"a small green friendly alien inside a futuristic spaceship control room, looking at a floating holographic tablet, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：綠綠的外星人小朋友在未來太空船的控制室裡，看著浮在空中的全息平板。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 綠綠的外星人小朋友在未來太空船的控制室裡，看著浮在空中的全息平板！這是一張科幻世界的快樂畫面～
sci_alien_spaceship_jetpack,scifi,alien,spaceship,jetpack,./assets/images/sci_alien_spaceship_jetpack.webp,"a small green friendly alien inside a futuristic spaceship control room, wearing a small flame-trailing jetpack, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：綠綠的外星人小朋友在未來太空船的控制室裡，背著一個會噴火的小噴射背包。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 綠綠的外星人小朋友在未來太空船的控制室裡，背著一個會噴火的小噴射背包！這是一張科幻世界的快樂畫面～
sci_alien_cybercity_glasses,scifi,alien,cybercity,glasses,./assets/images/sci_alien_cybercity_glasses.webp,"a small green friendly alien on a neon cyberpunk city street, wearing high-tech glowing glasses, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：綠綠的外星人小朋友在霓虹閃爍的賽博城市街道上，戴著一副會發光的高科技眼鏡。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 綠綠的外星人小朋友在霓虹閃爍的賽博城市街道上，戴著一副會發光的高科技眼鏡！這是一張科幻世界的快樂畫面～
sci_alien_cybercity_laser,scifi,alien,cybercity,laser,./assets/images/sci_alien_cybercity_laser.webp,"a small green friendly alien on a neon cyberpunk city street, holding a glowing laser sword, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：綠綠的外星人小朋友在霓虹閃爍的賽博城市街道上，手裡握著一把發光的雷射劍。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 綠綠的外星人小朋友在霓虹閃爍的賽博城市街道上，手裡握著一把發光的雷射劍！這是一張科幻世界的快樂畫面～
sci_alien_cybercity_holopad,scifi,alien,cybercity,holopad,./assets/images/sci_alien_cybercity_holopad.webp,"a small green friendly alien on a neon cyberpunk city street, looking at a floating holographic tablet, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：綠綠的外星人小朋友在霓虹閃爍的賽博城市街道上，看著浮在空中的全息平板。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 綠綠的外星人小朋友在霓虹閃爍的賽博城市街道上，看著浮在空中的全息平板！這是一張科幻世界的快樂畫面～
sci_alien_cybercity_jetpack,scifi,alien,cybercity,jetpack,./assets/images/sci_alien_cybercity_jetpack.webp,"a small green friendly alien on a neon cyberpunk city street, wearing a small flame-trailing jetpack, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：綠綠的外星人小朋友在霓虹閃爍的賽博城市街道上，背著一個會噴火的小噴射背包。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 綠綠的外星人小朋友在霓虹閃爍的賽博城市街道上，背著一個會噴火的小噴射背包！這是一張科幻世界的快樂畫面～
sci_alien_moonbase_glasses,scifi,alien,moonbase,glasses,./assets/images/sci_alien_moonbase_glasses.webp,"a small green friendly alien at a moon base with the Earth in the sky, wearing high-tech glowing glasses, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：綠綠的外星人小朋友在月球基地，遠遠看著地球，戴著一副會發光的高科技眼鏡。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 綠綠的外星人小朋友在月球基地，遠遠看著地球，戴著一副會發光的高科技眼鏡！這是一張科幻世界的快樂畫面～
sci_alien_moonbase_laser,scifi,alien,moonbase,laser,./assets/images/sci_alien_moonbase_laser.webp,"a small green friendly alien at a moon base with the Earth in the sky, holding a glowing laser sword, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：綠綠的外星人小朋友在月球基地，遠遠看著地球，手裡握著一把發光的雷射劍。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 綠綠的外星人小朋友在月球基地，遠遠看著地球，手裡握著一把發光的雷射劍！這是一張科幻世界的快樂畫面～
sci_alien_moonbase_holopad,scifi,alien,moonbase,holopad,./assets/images/sci_alien_moonbase_holopad.webp,"a small green friendly alien at a moon base with the Earth in the sky, looking at a floating holographic tablet, sci-fi theme, vibrant 2D vector art style, flat colors, suitable for children's illustration, clean background, cute and engaging, high resolution --ar 4:3",請畫一張科幻風格的圖：綠綠的外星人小朋友在月球基地，遠遠看著地球，看著浮在空中的全息平板。以鮮豔的2D向量插畫呈現，色塊扁平、背景乾淨，適合小朋友觀看的童趣風格。,📸 綠綠的外星人小朋友在月球基地，遠遠看著地球，看著浮在空中的全息平板！這是一張科幻世界的快樂畫面～
