character_id,scenario_id,scenario_title,scenario_icon,scenario_situation,character_says,option_id,option_text,is_best,ai_response,explanation,tip
ke,ke_1,檢查作業怕有錯字,✅,"你寫完一篇 200 字的讀書心得，怕有錯字、語句不通順，但又不想被 AI 整個改掉。","我寫完心得了，但好怕有錯字。要怎麼請 AI 幫我檢查比較好呢？",B,"以下這篇文章是我自己寫的「我的家鄉」（國小四年級程度），請只指出錯字和不通順的句子並說明原因，不要直接幫我改寫，我想自己修正。",1,"AI 回覆：好的，我只指出問題不直接改寫：① 第 1 行「家鄉是個美麗地方」少一個「的」，建議改成「美麗的地方」。② 第 3 行「人很多很熱鬧很好玩」三個短句連在一起，可以加標點分開。③「鯊魚」這個詞與家鄉內容不太搭，是不是想寫「夏天」呢？請你自己改完再給我看～","完美！你說明了角色、文章主題、年級，又限定 AI 「指出問題不要改寫」，AI 就會像老師批改一樣陪你練習。","包含：年級＋限定 AI 行為＋自我修正"
ke,ke_1,檢查作業怕有錯字,✅,"你寫完一篇 200 字的讀書心得，怕有錯字、語句不通順，但又不想被 AI 整個改掉。","我寫完心得了，但好怕有錯字。要怎麼請 AI 幫我檢查比較好呢？",C,看一下這篇,0,"AI 回覆：請問你想要我看哪個部分呢？文法？結構？或內容？","太模糊囉！AI 不知道要看什麼。指令太簡短就會浪費時間。","缺少：明確的檢查目標"
ke,ke_2,寫關於圖書館的文章卡關,📚,"老師出題「我最喜歡的地方」要寫 300 字，你想寫圖書館，但不知道怎麼開頭。","我想寫圖書館，但不知道從哪裡開頭。要怎麼問 AI，才不會被 AI 代寫呢？",A,幫我寫一篇關於圖書館的文章,0,"AI 回覆：「圖書館是我最喜歡的地方。每當踏進那扇大門...」（自動產生 300 字文章）","哎呀！這樣 AI 會直接代寫，作品就不是你自己的了。","缺少：限定 AI 的角色，要 AI 給「方向」而不是「代寫」"
ke,ke_2,寫關於圖書館的文章卡關,📚,"老師出題「我最喜歡的地方」要寫 300 字，你想寫圖書館，但不知道怎麼開頭。","我想寫圖書館，但不知道從哪裡開頭。要怎麼問 AI，才不會被 AI 代寫呢？",B,"我國小四年級，要寫一篇 300 字「我最喜歡的地方—圖書館」。請給我 3 種開頭方向，每種一句話就好，剩下我自己寫。",1,"AI 回覆：好的，給你 3 種開頭：① 感官式：「推開圖書館的大門，紙張和書頁的味道立刻迎面而來。」② 回憶式：「第一次走進圖書館，是奶奶牽著我的那個下午。」③ 對比式：「外面的世界又吵又亂，唯獨圖書館像一座安靜的小島。」挑你最喜歡的繼續寫吧！","太棒了！你給了年級、字數、主題，還限定 AI 「只給方向」，AI 就會像啟發老師。","包含：年級＋字數＋主題＋限定 AI 行為"
ke,ke_2,寫關於圖書館的文章卡關,📚,"老師出題「我最喜歡的地方」要寫 300 字，你想寫圖書館，但不知道怎麼開頭。","我想寫圖書館，但不知道從哪裡開頭。要怎麼問 AI，才不會被 AI 代寫呢？",C,圖書館是什麼？,0,"AI 回覆：圖書館是收藏書籍、提供借閱與閱讀空間的公共場所...","這是查資料的問法，可是你需要的是「寫作方向」不是「定義」。","缺少：明確說明你需要寫作協助"
ke,ke_3,自然課四季變化聽不懂,🍂,"自然課老師講「為什麼會有春夏秋冬」，你聽不懂，想找 AI 用聽得懂的方式解釋。","為什麼會有四季？我聽不太懂耶。要怎麼問 AI，才能用我聽得懂的方式說呢？",A,四季是什麼？,0,"AI 回覆：四季是一年中氣候變化的四個階段，分別是春、夏、秋、冬...","太空泛囉！AI 只能給定義，沒辦法針對你的程度解釋。","缺少：年級＋希望的解釋方式"
ke,ke_3,自然課四季變化聽不懂,🍂,"自然課老師講「為什麼會有春夏秋冬」，你聽不懂，想找 AI 用聽得懂的方式解釋。","為什麼會有四季？我聽不太懂耶。要怎麼問 AI，才能用我聽得懂的方式說呢？",B,"我國小四年級，請用生活中的比喻或例子解釋為什麼地球上會有春夏秋冬，不要用太多艱深的天文名詞，並用一個簡單的小情境舉例。",1,"AI 回覆：想像地球是一顆「斜斜轉的籃球」，當它繞著太陽公轉一圈時，因為它是斜的，所以不同時候會有不同部分對著太陽。當你的位置「正對」太陽，就是夏天；偏離得最多時就是冬天。生活舉例：你拿手電筒直直照桌面（很亮、很熱），跟斜斜照（光散開、不熱）比較看看就明白了！","太棒了！年級、表達方式、限制條件都說明了，AI 才能用你的程度解釋。","包含：年級＋比喻要求＋限制條件＋生活舉例"
ke,ke_3,自然課四季變化聽不懂,🍂,"自然課老師講「為什麼會有春夏秋冬」，你聽不懂，想找 AI 用聽得懂的方式解釋。","為什麼會有四季？我聽不太懂耶。要怎麼問 AI，才能用我聽得懂的方式說呢？",C,介紹地球公轉自轉黃道面傾斜對熱量分布的影響,0,"AI 回覆：地球公轉是地球繞太陽運行的軌道運動，公轉週期約 365.25 日。地球自轉軸與黃道面呈 23.5 度傾角，導致太陽輻射對不同緯度的入射角度產生變化...","完蛋了！這個提問太學術，AI 也回得很學術，反而更聽不懂。","缺少：你的年級和「請用簡單方式說明」的要求"
si,si_1,想畫一隻奇幻生物卻沒方向,🐉,"美術課要畫一隻「想像中的生物」，你完全沒有方向，腦袋一片空白。","我想畫一隻全宇宙獨一無二的生物，但腦袋空空！要怎麼讓 AI 給我有趣的方向？",A,教我怎麼畫一個生物,0,"AI 回覆：請問你要畫真實的還是想像的？什麼樣的場景？我需要更多資訊。","太空泛了！AI 不知道你要畫什麼風格、有沒有規定。","缺少：作品要求＋風格描述"
si,si_1,想畫一隻奇幻生物卻沒方向,🐉,"美術課要畫一隻「想像中的生物」，你完全沒有方向，腦袋一片空白。","我想畫一隻全宇宙獨一無二的生物，但腦袋空空！要怎麼讓 AI 給我有趣的方向？",B,"我是國小生，要畫一隻想像中的生物。請給我 3 個融合不同動物特徵的點子（例如：身體＋翅膀＋尾巴），每個用 1-2 句描述外觀和個性，不要幫我畫，給我方向就好。",1,"AI 回覆：來一些天馬行空的點子吧！① 雲朵狐狸：身體像棉花、尾巴是七色彩虹、會吐出小雷聲。個性：愛睡覺但脾氣硬。② 海葵刺蝟：頭頂長著海葵觸鬚、背上是會發光的針，住在海邊岩石。個性：害羞但充滿好奇。③ 月光長頸鹿：脖子像滑翔翼、腳是月光做的銀色，只有在夜裡才會出現。個性：安靜又溫柔。","完美！你說明了年級、創作主題、需要 3 個方向、限定 AI 不要代畫，AI 就會像點子工廠。","包含：年級＋限定條件＋格式要求＋角色＋限定 AI 不代繪"
si,si_1,想畫一隻奇幻生物卻沒方向,🐉,"美術課要畫一隻「想像中的生物」，你完全沒有方向，腦袋一片空白。","我想畫一隻全宇宙獨一無二的生物，但腦袋空空！要怎麼讓 AI 給我有趣的方向？",C,幫我畫一隻啦～,0,"AI 回覆：好的，我可以幫你產生一張圖片...（自動生成圖像）","等等！讓 AI 直接畫，作品就變成 AI 的了，不是你自己畫的。","缺少：請 AI 給方向而非代繪"
si,si_2,故事卡在魔法森林裡寫不下去,🪄,"你寫一個小說故事但寫到一半卡住，主角剛踏進魔法森林，不知道接下來該發生什麼。","我的故事卡在魔法森林裡了！要怎麼問 AI，才能讓我自己接得下去呢？",A,幫我寫故事,0,"AI 回覆：「主角踏進魔法森林後，遇到了一隻會說話的精靈...」（自動產生大段情節）","哎呀！這樣 AI 會幫你寫完，故事就不是你的了。","缺少：限定 AI 角色，要 AI 給「分支」而非「續寫」"
si,si_2,故事卡在魔法森林裡寫不下去,🪄,"你寫一個小說故事但寫到一半卡住，主角剛踏進魔法森林，不知道接下來該發生什麼。","我的故事卡在魔法森林裡了！要怎麼問 AI，才能讓我自己接得下去呢？",B,"我寫了一個故事，主角剛走進魔法森林。請給我 3 個可能會發生的情節分支（每個一句話即可），讓我自己選一個接著寫，不要直接續寫整段。",1,"AI 回覆：給你 3 個分支：① 路徑突然變成發光的蘑菇橋，主角被引導到森林深處。② 一隻迷路的小狼出現，求主角幫忙找媽媽。③ 一張會說話的地圖飄到主角面前，要求他先回答謎題才肯打開。挑一個你最喜歡的方向繼續寫吧！","太棒了！說明了狀況、需要 3 個分支、明確要求 AI 不要代寫，AI 就會像故事點子發想員。","包含：故事背景＋分支數量＋限定 AI 行為"
si,si_2,故事卡在魔法森林裡寫不下去,🪄,"你寫一個小說故事但寫到一半卡住，主角剛踏進魔法森林，不知道接下來該發生什麼。","我的故事卡在魔法森林裡了！要怎麼問 AI，才能讓我自己接得下去呢？",C,魔法森林是什麼樣子？,0,"AI 回覆：魔法森林是奇幻文學中的常見場景，常見要素包括發光植物、神秘生物、迷霧...","這是查資料的問法，可是你需要的是「劇情點子」不是「定義」。","缺少：明確說明你需要劇情建議"
si,si_3,想知道雲為什麼有不同形狀,☁️,"看著天空，雲的形狀都不一樣，你想了解為什麼，但不想看太硬的科學論文。","為什麼雲長得都不一樣呢？要怎麼問 AI，才能像聽故事一樣聽懂呢？",A,雲是什麼？,0,"AI 回覆：雲是大氣中由水滴或冰晶聚集而成的可見體...","太空泛了！AI 只能給定義，沒辦法符合你想聽故事的需求。","缺少：你的年級＋希望的表達方式"
si,si_3,想知道雲為什麼有不同形狀,☁️,"看著天空，雲的形狀都不一樣，你想了解為什麼，但不想看太硬的科學論文。","為什麼雲長得都不一樣呢？要怎麼問 AI，才能像聽故事一樣聽懂呢？",B,"我國小生，請用童話故事的口吻告訴我，為什麼天空中的雲會有「棉花糖」、「魚鱗」、「羽毛」三種不同形狀，每種形狀用 1 段話描述。",1,"AI 回覆：天空裡住著三種雲精靈～ 🍡 棉花糖雲：是低空胖胖的精靈，水氣多又濃，喜歡擠在一起睡午覺，所以看起來像一團團棉花糖。🐟 魚鱗雲：是中空愛排隊的精靈，風會把它們吹得整整齊齊，就像魚兒身上的鱗片。🪶 羽毛雲：是高空細細長長的精靈，由小冰晶組成，被快風梳成一束束像羽毛的形狀。","完美！年級、童話風格、形狀範例、段落格式都說了，AI 就能用你喜歡的方式說。","包含：年級＋表達風格＋形狀指定＋格式"
si,si_3,想知道雲為什麼有不同形狀,☁️,"看著天空，雲的形狀都不一樣，你想了解為什麼，但不想看太硬的科學論文。","為什麼雲長得都不一樣呢？要怎麼問 AI，才能像聽故事一樣聽懂呢？",C,講解大氣物理對流冷凝過程,0,"AI 回覆：對流凝結是指空氣團因熱對流上升，達到露點溫度時水汽凝結為水滴的物理過程...","這個提問太學術了！AI 也會回得很學術，跟你想要的童話故事完全不同。","缺少：你的年級和「請用簡單方式」的指示"
oni,oni_1,想匿名問尷尬問題,🎭,"你有個很私密的煩惱（例如交朋友），不敢跟同學或家人說，但想得到好建議。","這問題很尷尬，但我又想要好建議。要怎麼問 AI，才能既保護自己又得到答案呢？",A,"我國小生，班上有一個同學總是獨自一人，我想主動接近她但又怕嚇到她。請給我 3 個小方法可以慢慢靠近，每個附 1 句使用情境說明。",1,"AI 回覆：給你 3 個輕柔的方法：① 從共同小事切入：「你的鉛筆好可愛，我也喜歡這個圖案」（不直接探隱私）② 邀請參加群體活動：「我們要一起做美勞，要不要一起？」（給她選擇權）③ 默默微笑點頭：每天上學經過時點頭微笑，讓她感受到你不會打擾她（給時間建立熟悉）","完美！沒洩漏個資、把問題說清楚、需要實用方法。歐匿就喜歡這種有保護又能解決問題的提問。","包含：模糊個資＋具體狀況＋明確需求＋格式"
oni,oni_1,想匿名問尷尬問題,🎭,"你有個很私密的煩惱（例如交朋友），不敢跟同學或家人說，但想得到好建議。","這問題很尷尬，但我又想要好建議。要怎麼問 AI，才能既保護自己又得到答案呢？",B,"我叫王小明，五年三班，我喜歡的同學叫李小華，住在 ○○ 路 12 號，我想跟她當朋友怎麼辦？",0,"AI 回覆：（資安提醒）你提供了真實姓名、班級和住址，這些是個人資料，不應該在線上服務分享。建議改用模糊敘述。","小心！把真實姓名、班級、地址全給 AI，這些個資外洩風險超高，這就是紅燈！","缺少：個資保護意識。永遠不要把真實姓名、地址給 AI"
oni,oni_2,為什麼貓特別愛躲箱子,🐈,"你發現家裡的貓總愛躲在紙箱裡，覺得很神奇，想知道原因但不想讀論文。","為什麼貓特別愛躲箱子呢？我想知道但又不想讀一堆論文。",A,"我國小生，請用 3 個小重點告訴我貓為什麼喜歡躲在箱子裡（例如：安全感、保暖、視野），每個重點 1-2 句即可，最後附 1 個我可以在家觀察的小實驗。",1,"AI 回覆：3 個重點：① 安全感：箱子四面包圍，貓覺得不會被偷襲，像縮在洞穴裡的本能。② 保暖：紙箱阻隔風又比地面溫暖，貓能舒服地保持體溫。③ 視野：箱口剛好可以偷看外面，讓貓既躲藏又能掌握全場。在家觀察小實驗：拿一個大紙箱、一個小紙箱，看貓更喜歡哪一個？看看牠是要躲、要看，還是要保暖。","太棒了！年級、重點數、限制長度、實驗延伸都說了，歐匿很欣賞這種俐落的提問。","包含：年級＋重點數＋長度限制＋延伸觀察"
oni,oni_2,為什麼貓特別愛躲箱子,🐈,"你發現家裡的貓總愛躲在紙箱裡，覺得很神奇，想知道原因但不想讀論文。","為什麼貓特別愛躲箱子呢？我想知道但又不想讀一堆論文。",B,貓,0,"AI 回覆：貓是哺乳動物，學名 Felis catus...請問你想知道貓的什麼資訊呢？","太短了！AI 完全不知道你想問什麼。","缺少：完整的問題＋你的需求"
oni,oni_3,確認網路傳言真假,🔍,"同學在群組說「夜晚澆花會害死植物」，你不確定真假，又不想被笑說很笨。","這個說法到底是真的還假的？我不想被笑說很傻又想知道答案。",A,"我看到「夜晚澆花會害死植物」的說法，請告訴我這是科學共識還是迷思？並用 2 個生活中可以自己驗證的觀察方法讓我親自確認。",1,"AI 回覆：這是常見的迷思！其實多數情況夜晚澆花並不會「害死」植物，但夜間水分蒸發慢、葉片潮濕較久，比較可能引起霉菌。生活驗證方法：① 找兩盆同種植物，一盆早上澆水、一盆夜晚澆水，每天觀察葉片有沒有發霉。② 觀察夜晚澆水後土壤多久才乾，比對白天的乾燥速度。一週後你會看到差別！","完美！同時要求科學共識和驗證方法，這才是聰明的提問。歐匿表示讚許！","包含：問題＋判斷需求＋自我驗證方法"
oni,oni_3,確認網路傳言真假,🔍,"同學在群組說「夜晚澆花會害死植物」，你不確定真假，又不想被笑說很笨。","這個說法到底是真的還假的？我不想被笑說很傻又想知道答案。",B,夜晚澆花是真的嗎？網路說的吧,0,"AI 回覆：請問是哪一個說法？不同說法有不同答案，我需要你提供完整的內容才能評估。","太簡短了！AI 不知道你看到的完整說法，也不知道你要科學還是經驗。","缺少：完整說法＋判斷標準（科學共識？實驗驗證？）"
