tier,item_id,config,signal,scenario_text,answer_explanation,feedback_text,,,,,,,,,,,,,,,,,,,,,
basic,11,🟡,yellow,我用 AI 查科學報告的資料，我看它寫得很詳細就直接用。,AI 可能有幻覺，必須先驗證、再標註。,「注意！AI 有時候會『一本正經地胡說八道』。沒經過你親自查證就直接用，可能會把錯的資訊傳出去喔！」,,,,,,,,,,,,,,,,,,,,,
basic,12,🟡,yellow,我請 AI 寫一段介紹台灣美食的範文，我參考結構重寫。,生成寫作範例是黃燈，需自己理解再創作。,「參考範例是可以的，但別忘了像老師教的一樣，要標註『參考自 AI』，並用你自己的話重新介紹才對！」,,,,,,,,,,,,,,,,,,,,,
basic,13,🟡,yellow,我和 AI 一起完成程式碼，但我不確定內容正不正確。,核心任務需由人類負責判斷正確性。,「程式能跑不代表它是對的喔！如果出了錯，AI 不會負責，只有你才是這段程式碼的最後負責人。」,,,,,,,,,,,,,,,,,,,,,
basic,14,🟡,yellow,寫寒假作業時，我請 AI 先幫我列出大綱，我再填內容。,涉及作業的核心架構，應視為黃燈。,「大綱就像房子的樑柱，很重要！你可以請 AI 建議，但你要自己決定最後的架構，並告訴老師有 AI 幫忙。」,,,,,,,,,,,,,,,,,,,,,
basic,15,🟡,yellow,我請 AI 幫我檢查數學題目的錯誤，它幫我指出來了。,除錯涉及學習邏輯，應理解原因後標註。,「AI 幫你找出錯誤很方便，但你得弄清楚『為什麼錯了』。如果只是照抄正確答案，下次你還是會寫錯喔。」,,,,,,,,,,,,,,,,,,,,,
advanced,16,🔴,red,寫校園新聞時，我覺得不精彩，請 AI 捏造一個小驚喜。,故意捏造假新聞嚴重違反資訊倫理。,「新聞最重要的就是真實！雖然加上捏造的故事很精彩，但這會欺騙讀者，讓大家不再信任你寫的東西。」,,,,,,,,,,,,,,,,,,,,,
advanced,17,🔴,red,我用 AI 查到的資料很棒，但我故意不註明出處。,未註明出處即為剽竊，違反誠信規範。,「誠實是學習的基礎。把 AI 的努力說成是自己的，就像偷別人的功勞一樣，這不是一個好公民的作法。」,,,,,,,,,,,,,,,,,,,,,
advanced,18,🟡,yellow,我請 AI 教我數學算式，它給了步驟，我照著自己算一遍。,需真的理解內容並標註 AI 引導。,「雖然你自己算過，但方法是 AI 提供的。請記得註明『經由 AI 引導理解』，這才是對自己學習負責的表現。」,,,,,,,,,,,,,,,,,,,,,
advanced,19,🔴,red,老師說作業不能用 AI，但我偷偷用它改了一個句子。,違反師長訂定的使用規則與誠信。,「規則就是規則。即使只是一個句子，偷偷使用就是打破了與老師之間的信任。如果有困難，應該直接找老師談。」,,,,,,,,,,,,,,,,,,,,,
advanced,20,🟢,green ,我請 AI 簡化超難的科學文章，用小學生聽得懂的話講給我聽。,這是極佳的學習輔助，跨越理解障礙。,「沒錯！AI 是最棒的翻譯官，能把難懂的知識變簡單。只要你最後真的弄懂了，它就是最棒的學習夥伴！」,,,,,,,,,,,,,,,,,,,,,
advanced,21,🔴,red,我在網路上看到 AI 做的假新聞圖片，我覺得有趣就轉發給全班。,傳播未經查證的假資訊違反公民素養。,「在按『分享』之前，請先停看聽。傳播假資訊會讓大家陷入混亂，你的手指力量很大，要用在正確的地方！」,,,,,,,,,,,,,,,,,,,,,
advanced,22,🟡,yellow,為了做繪本，我請 AI 生成一張老虎插畫，我再修改它。,AI 生成創作是黃燈，必須標註 AI 協助。,「這張圖是你跟 AI 的合作作品！即使你有修改，也應該清楚註明『底圖由 AI 生成』，以尊重原創的精神。」,,,,,,,,,,,,,,,,,,,,,
advanced,23,🟡,yellow,我請 AI 幫我把長篇報告摘要成三句話，我放在簡報裡。,摘要涉及核心解讀，需檢查並標註。,「AI 的摘要可能漏掉重要的細節。你要親自讀過一遍，確認這三句話真的代表這篇報告，並註明 AI 有幫忙。」,,,,,,,,,,,,,,,,,,,,,
advanced,24,🔴,red,我把家人的身分證字號給 AI，請它幫我檢查有沒有填錯。,嚴禁上傳個資，以免資料外洩。,「這太危險了！身分證字號就像個人的指紋，絕對不能交給 AI。一旦上傳，就可能被存在你不認識的雲端裡。」,,,,,,,,,,,,,,,,,,,,,
advanced,25,🟡,yellow,我請 AI 幫我翻譯國外官網的資料，我直接拿來當引用文獻。,翻譯後需校對並明確標註。,「外國網站的原文才是真憑實據。你可以用 AI 輔助閱讀，但引用時要記得標註它是經過 AI 翻譯的成果喔！」,,,,,,,,,,,,,,,,,,,,,
advanced,26,🟢,green ,我請 AI 把我雜亂的日記內容，整理成條列式的重點回顧。,屬於整理重點與結構化，是學習輔助。,「將生活碎片整理成有條理的紀錄，能幫你更好地反思自己。這是善用 AI 幫助自我成長的優秀範例！」,,,,,,,,,,,,,,,,,,,,,
advanced,27,🟢,green ,我請 AI 幫我找找看這篇作文裡有沒有錯別字，我再自己改。,屬於工具型輔助錯字檢查。,「找出錯字後由你親自訂正，能讓你更有印象。這種輔助能提升作品品質，是很棒的數位學習方式！」,,,,,,,,,,,,,,,,,,,,,
