asset_id,scenario_id,asset_type,target_size,midjourney_prompt,dalle_prompt,sd_prompt,final_path,status
s1_msg3,s1,message_image,800x600 PNG,Use scaled-down version of s1_main image,使用主圖 s1_main 的縮小版,scaled main image,assets/images/scenarios/s1/s1_msg3.webp,待生成
s1_msg4,s1,message_image,800x600 PNG,Phone LINE group chat screenshot showing a 校長公告 image with no school logo messy typography sender avatar default gray circle 4:3 ratio,手機 LINE 群組對話截圖顯示校長公告圖片但沒有學校徽章文字排版凌亂傳送者頭像預設灰色圓圈 4:3 比例,line chat screenshot fake announcement messy typography 4:3,assets/images/scenarios/s1/s1_msg4.webp,待生成
s1_msg5,s1,message_image,800x600 PNG,Taiwan Central Weather Bureau official heavy rain warning with full official logos and clear timestamp 4:3 ratio,台灣中央氣象署官方豪雨特報含完整官方標誌和清楚時間戳 4:3 比例,weather bureau heavy rain warning official taiwan 4:3,assets/images/scenarios/s1/s1_msg5.webp,待生成
s1_teacher,s1,character_portrait,800x1000 PNG transparent,Cartoon Taiwanese elementary school female teacher wearing white shirt and glasses with name badge warm professional smile half-body transparent background hand drawn storybook style 3:4,卡通風格台灣國小女老師穿著白襯衫戴眼鏡胸前掛名牌溫和微笑半身像透明背景手繪繪本風格 3:4 直式,cartoon female teacher taiwan glasses warm smile transparent bg 3:4,assets/images/characters/s1_teacher.webp,待生成
s1_classmate,s1,character_portrait,800x1000 PNG transparent,Cartoon Taiwanese elementary school boy holding a phone with panicked curious expression wearing school uniform half-body transparent bg 3:4 hand drawn storybook style,卡通風格台灣國小男學生手拿手機表情驚慌好奇穿校服半身像透明背景手繪繪本風格 3:4 直式,cartoon boy student taiwan phone surprised transparent bg 3:4,assets/images/characters/s1_classmate.webp,待生成
s1_netizen,s1,character_portrait,800x1000 PNG transparent,Cartoon mysterious figure wearing baseball cap and mask face obscured mysterious atmosphere half-body transparent or dark gray background hand drawn storybook style 3:4,卡通風格不明人物戴棒球帽和口罩看不清臉部神秘感半身像透明或暗灰色背景手繪繪本風格 3:4 直式,cartoon mysterious masked figure dark bg 3:4,assets/images/characters/s1_netizen.webp,待生成
s1_main,s2,scenario_main,1600x900 PNG,Heartwarming fake news photo showing schoolchildren receiving tablets from a fake corporate donation event Asian elementary students smiling holding iPads classroom setting corporate banner in background with distorted logo AI-generated hand imperfections extra fingers on some students slight background blending artifacts warm lighting subtle uncanny valley effects photorealistic but suspicious detail flaws --ar 16:9 --v 6,請生成一張看起來溫馨但實際上是 AI 偽造的捐贈新聞照片教室裡幾位台灣國小學生開心地拿著平板背景有企業捐贈活動的背景看板但 LOGO 字體模糊變形學生的手部細節故意有問題教室桌椅與牆壁邊界稍微模糊融合 16:9 橫式比例,fake donation news photo students tablets warm bg distorted logo extra fingers blending artifacts 16:9,assets/images/scenarios/s2/s1_main.webp,待生成
s2_msg1,s2,message_image,800x600 PNG,Taiwan Red Cross official fundraising poster with formal logo clear donation information traditional chinese 4:3 ratio,紅十字會官方募款公告海報正式徽章募款資訊清晰台灣繁體中文 4:3 比例,red cross fundraising poster taiwan official logo 4:3,assets/images/scenarios/s2/s2_msg1.webp,待生成
s2_msg2,s2,message_image,800x600 PNG,Use scaled-down version of s1_main image,使用主圖 s1_main 的縮小版,scaled main image,assets/images/scenarios/s2/s2_msg2.webp,待生成
s2_msg3,s2,message_image,800x600 PNG,Taiwan TFCF Foundation child sponsorship program announcement with clear logo and contact info 4:3 ratio,家扶基金會認養計畫公告有清楚的基金會徽章和聯絡資訊台灣繁體中文 4:3 比例,tfcf foundation taiwan sponsorship official logo 4:3,assets/images/scenarios/s2/s2_msg3.webp,待生成
s2_msg4,s2,message_image,800x600 PNG,Brightly colored love ambassador recruitment ad emphasizing fill form to get gift suspicious personal info form gaudy colors 4:3 ratio,彩色繽紛的愛心大使招募廣告強調填表即可領禮物有可疑的個資表單誇張色彩 4:3 比例,colorful recruitment scam ad form fill gift 4:3,assets/images/scenarios/s2/s2_msg4.webp,待生成
s2_msg5,s2,message_image,800x600 PNG,Principal giving certificate of appreciation to a parent representative realistic photo style natural Taiwan elementary school setting 4:3 ratio,校長頒發感謝狀給家長代表的真實照片風格平實自然台灣國小場景 4:3 比例,principal giving certificate parent taiwan elementary 4:3,assets/images/scenarios/s2/s2_msg5.webp,待生成
s2_director,s2,character_portrait,800x1000 PNG transparent,Cartoon Taiwanese elementary school female director wearing formal blazer glasses kind expression teacher badge half-body transparent background hand drawn storybook style 3:4,卡通風格台灣國小女性主任穿正式西裝外套戴眼鏡和善表情胸前掛教師證半身像透明背景手繪繪本風格 3:4 直式,cartoon female director taiwan blazer glasses kind transparent bg 3:4,assets/images/characters/s2_director.webp,待生成
s2_classmate,s2,character_portrait,800x1000 PNG transparent,Cartoon Taiwanese elementary school boy in school uniform excited looking at phone half-body transparent bg 3:4 hand drawn storybook style,卡通風格台灣國小男學生穿校服興奮看著手機的表情半身像透明背景手繪繪本風格 3:4 直式,cartoon excited boy student phone transparent bg 3:4,assets/images/characters/s2_classmate.webp,待生成
s2_fake_company,s2,character_portrait,800x1000 PNG transparent,Cartoon mysterious figure with mask or question mark face beside a corporate verification mark crossed out half-body dark background indicating unknown source hand drawn storybook style 3:4,卡通風格戴著面具或頭像被打問號的神秘人物旁邊有企業認證打叉的標誌半身像深色背景表示不明來源手繪繪本風格 3:4 直式,cartoon masked fake company verification crossed dark bg 3:4,assets/images/characters/s2_fake_company.webp,待生成
s3_msg1,s3,message_image,800x600 PNG,Taiwan International Museum Day free admission official announcement poster with museum logo formal design traditional chinese 4:3 ratio,「國際博物館日免費參觀！」政府機構/博物館官方公告海報，有清楚博物館徽章、正式設計、台灣繁體中文 4:3 比例,taiwan museum day free admission official poster 4:3,assets/images/scenarios/s3/s3_msg1.webp,已生成
s3_msg2,s3,message_image,800x600 PNG,Scam advertisement screenshot with title 恭喜！免費獲得 iPhone 17！限時24小時領取！ countdown timer at top emphasize urgency a button 不需支付費用 a QR code at bottom right with no brand or vendor identification photorealistic but suspicious style 4:3 ratio --ar 4:3 --v 6,詐騙廣告截圖：標題「恭喜！免費獲得 iPhone 17！限時 24 小時領取！」、上方有倒數計時強調緊迫感、中段標示「不需支付費用」按鈕、右下角放 QR Code 但完全沒有任何品牌或廠商標示，看起來像詐騙風格 4:3 比例,scam ad iphone 17 limited 24h free no brand qr code 4:3,assets/images/scenarios/s3/s3_msg2.webp,已生成
s3_msg3,s3,message_image,—,（純文字訊息，無對應圖片）,（純文字訊息，無對應圖片）,text only no image,—,純文字無圖
s3_msg4,s3,message_image,800x600 PNG,Another scam ad with title 豪華禮物等你領！按讚分享，免費送！ 數量有限送完為止 完全免費 0 元帶回家 piles of luxury gifts unrealistic sparkle effects social share buttons obvious lure scam style 4:3 ratio --ar 4:3 --v 6,詐騙廣告：標題「豪華禮物等你領！按讚分享，免費送！」、強調「數量有限，送完為止」「完全免費，0 元帶回家」、誇張的奢華禮物堆與不真實閃光效果、要求按讚分享的典型誘餌話術風格 4:3 比例,scam ad like share luxury gifts limited 100% free 4:3,assets/images/scenarios/s3/s3_msg4.webp,已生成
s3_msg5,s3,message_image,800x600 PNG,Taiwan environmental recycling event poster 回收有理 環保換宣導品 official government environmental campaign formal design with department logo traditional chinese 4:3 ratio,環保回收活動海報「回收有理，環保換宣導品！」由政府環保單位主辦的合理公益活動有單位徽章正式設計 4:3 比例,taiwan recycling government campaign poster 4:3,assets/images/scenarios/s3/s3_msg5.webp,已生成
s3_officer,s3,character_portrait,800x1000 PNG transparent,Cartoon Taiwanese community policeman in uniform serious caring expression young approachable type half-body transparent background hand drawn storybook style 3:4,卡通風格台灣社區警察形象男性穿著警察制服表情認真關切年輕親切型半身像透明背景手繪繪本風格 3:4 直式,cartoon community policeman taiwan serious caring transparent bg 3:4,assets/images/characters/s3_officer.webp,待生成
s3_classmate,s3,character_portrait,800x1000 PNG transparent,Cartoon Taiwanese elementary school boy excitedly holding a phone naive curious expression school uniform half-body transparent bg 3:4 hand drawn storybook style,卡通風格台灣國小男學生興奮地拿著手機表情天真好奇穿校服半身像透明背景手繪繪本風格 3:4 直式,cartoon excited curious boy student phone transparent bg 3:4,assets/images/characters/s3_classmate.webp,待生成
s3_netizen,s3,character_portrait,800x1000 PNG transparent,Cartoon blurred avatar mosaic or silhouette with unknown source label half-body gray background hand drawn storybook style 3:4,模糊的頭像馬賽克或剪影旁邊有不明來源標記半身像灰色背景手繪繪本風格 3:4 直式,cartoon blurred avatar unknown source gray bg 3:4,assets/images/characters/s3_netizen.webp,待生成
